Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia,Australia,Food,Offline,High,2023-03-17,248,2023-04-12,753,7.60,1.20,10.20,36.90,16.10
Europe,China,Electronics,Offline,Medium,2022-05-25,249,2023-04-14,157,9.30,4.60,80.50,6.60,31.30
Europe,China,Toys,Offline,High,2022-10-20,250,2023-04-12,108,2.40,1.00,28.40,45.80,23.00
Australia,UK,Toys,Offline,Medium,2022-07-07,251,2023-04-12,239,7.10,4.30,22.30,41.50,44.70
Asia,India,Toys,Offline,Medium,2022-11-10,252,2023-04-09,700,2.90,3.00,72.10,13.10,0.60
South America,India,Toys,Offline,High,2022-06-04,253,2023-04-10,218,3.00,5.00,57.80,30.50,49.00
North America,India,Toys,Online,Low,2023-02-13,254,2023-04-10,767,6.50,1.50,50.80,10.60,48.20
Asia,Canada,Clothing,Online,Medium,2022-06-28,255,2023-04-12,35,8.30,2.20,91.40,25.40,21.10
South America,Japan,Electronics,Online,High,2022-12-13,256,2023-04-13,173,3.30,1.70,75.60,28.80,45.70
Asia,USA,Clothing,Online,Low,2022-08-08,257,2023-04-09,266,3.60,3.70,47.20,48.20,48.80
South America,Brazil,Toys,Online,Medium,2022-09-13,258,2023-04-15,263,4.70,4.80,60.50,42.10,42.90
Asia,USA,Electronics,Offline,Medium,2023-02-23,259,2023-04-15,149,1.50,0.60,64.50,33.40,31.10
Europe,Brazil,Furniture,Online,High,2022-09-23,260,2023-04-10,497,0.80,3.90,37.10,8.80,7.30
Asia,Australia,Electronics,Online,Low,2022-12-30,261,2023-04-10,560,8.90,4.90,73.20,43.70,49.30
Australia,Brazil,Toys,Online,Medium,2022-12-12,262,2023-04-14,502,7.90,1.20,16.10,21.70,5.80
Australia,China,Furniture,Offline,Low,2022-06-09,263,2023-04-09,937,8.70,2.30,64.30,7.30,19.80
North America,UK,Electronics,Offline,High,2022-11-12,264,2023-04-14,577,5.80,4.60,47.30,5.10,45.40
South America,Canada,Toys,Offline,High,2022-07-07,265,2023-04-12,667,1.70,0.30,71.30,1.90,1.60
Australia,Canada,Sports,Online,Low,2022-12-03,266,2023-04-13,267,2.30,2.30,90.10,36.90,45.50
North America,Mexico,Toys,Offline,High,2022-12-20,267,2023-04-10,422,4.70,2.40,75.70,41.90,28.60
North America,Japan,Electronics,Offline,Medium,2022-07-08,268,2023-04-15,255,0.10,1.90,82.50,43.70,1.80
Europe,China,Food,Online,High,2022-08-29,269,2023-04-10,735,1.10,4.80,12.40,11.90,43.70
Australia,Canada,Toys,Offline,High,2022-06-06,270,2023-04-12,136,9.20,3.00,41.50,29.30,35.50
North America,Germany,Sports,Offline,Medium,2022-06-28,271,2023-04-12,296,3.10,0.30,39.80,19.80,11.00
South America,Australia,Food,Online,High,2022-11-01,272,2023-04-15,259,9.40,3.10,38.20,7.30,17.10
Europe,USA,Food,Online,High,2022-09-08,273,2023-04-14,3,8.70,1.80,79.30,18.30,18.10
Europe,India,Furniture,Offline,Medium,2023-01-02,274,2023-04-12,613,9.40,2.00,8.50,4.10,33.20
North America,Japan,Electronics,Online,Medium,2022-12-12,275,2023-04-13,740,2.90,3.20,24.00,23.10,17.20
Europe,Canada,Electronics,Online,Medium,2022-11-14,276,2023-04-13,463,3.10,4.40,82.40,33.50,36.50
South America,Japan,Sports,Offline,Medium,2022-07-08,277,2023-04-15,116,2.10,2.60,52.20,14.70,35.00
Asia,Japan,Toys,Online,Low,2022-08-08,278,2023-04-10,343,0.20,4.60,87.70,38.00,28.10
Australia,Australia,Furniture,Online,Low,2022-06-15,279,2023-04-09,388,5.60,3.10,98.20,37.50,12.50
Europe,Mexico,Toys,Offline,Low,2022-05-12,280,2023-04-12,793,3.60,1.60,52.80,46.20,45.50
Asia,Argentina,Toys,Online,High,2022-07-25,281,2023-04-13,574,6.50,4.20,21.40,49.10,15.70
South America,Germany,Furniture,Online,Low,2023-01-09,282,2023-04-09,381,7.20,3.50,48.30,16.10,35.70
Europe,Mexico,Clothing,Offline,High,2023-04-02,283,2023-04-14,533,7.30,3.90,37.10,22.60,44.90
South America,Mexico,Electronics,Offline,Medium,2022-08-14,284,2023-04-09,573,9.90,4.40,48.10,42.50,27.00
Europe,China,Toys,Offline,Low,2022-05-28,285,2023-04-11,34,3.20,1.80,82.80,45.80,14.50
Asia,Canada,Sports,Offline,High,2022-04-22,286,2023-04-10,398,4.90,0.20,3.60,5.10,26.80
South America,Australia,Electronics,Offline,Low,2022-08-17,287,2023-04-12,459,4.10,1.10,50.20,33.10,2.70
Europe,Brazil,Sports,Online,High,2023-02-25,288,2023-04-14,594,2.80,0.60,29.30,46.50,31.50
Europe,Japan,Electronics,Online,Medium,2023-03-09,289,2023-04-15,256,4.20,3.30,98.90,9.20,23.40
Asia,Argentina,Sports,Offline,Low,2023-02-20,290,2023-04-15,874,9.10,4.70,22.60,25.30,14.60
South America,Mexico,Toys,Offline,High,2022-12-19,291,2023-04-15,440,4.40,2.40,60.50,43.20,19.10
Europe,Germany,Clothing,Online,Medium,2022-11-03,292,2023-04-13,292,6.00,0.70,70.30,31.70,19.30
North America,Germany,Toys,Offline,High,2022-04-16,293,2023-04-15,381,7.70,5.00,70.40,28.50,13.10
Europe,Australia,Electronics,Offline,Medium,2022-07-07,294,2023-04-10,300,3.10,4.20,81.30,45.10,32.50
Europe,France,Electronics,Offline,High,2022-04-24,295,2023-04-11,481,5.50,3.20,36.00,20.90,25.30
Australia,Argentina,Toys,Online,High,2022-11-07,296,2023-04-09,157,4.20,2.00,32.60,27.40,26.40
North America,Canada,Sports,Offline,Low,2022-09-29,297,2023-04-15,772,1.30,2.90,17.70,49.10,12.30
Asia,India,Food,Offline,Low,2023-01-26,298,2023-04-12,882,6.80,3.80,38.30,11.20,36.70
Europe,China,Sports,Offline,High,2022-12-24,299,2023-04-09,973,0.80,1.20,88.50,7.80,39.00
North America,Brazil,Food,Online,Medium,2022-10-23,300,2023-04-15,45,4.60,1.90,59.90,40.50,25.70
South America,India,Sports,Offline,Low,2022-08-15,301,2023-04-09,751,6.90,0.50,33.70,15.50,0.70
Asia,Canada,Toys,Offline,Low,2022-10-29,302,2023-04-15,828,7.50,2.50,70.20,10.70,6.90
Australia,India,Sports,Offline,Medium,2023-02-06,303,2023-04-09,669,2.90,4.20,59.50,31.80,23.80
Australia,Canada,Toys,Online,Low,2022-08-19,304,2023-04-11,15,6.00,1.20,40.90,30.70,32.40
North America,China,Electronics,Online,High,2023-02-17,305,2023-04-11,494,2.80,0.20,80.60,1.90,36.10
Australia,Argentina,Sports,Online,High,2023-03-26,306,2023-04-13,368,9.40,2.60,43.40,5.00,36.00
South America,USA,Furniture,Offline,Medium,2022-10-29,307,2023-04-09,837,7.30,3.60,51.10,14.60,48.70
Europe,Canada,Electronics,Online,Low,2022-09-28,308,2023-04-11,896,8.50,4.60,48.00,22.40,49.00
Asia,India,Electronics,Online,High,2022-10-16,309,2023-04-11,310,3.80,1.50,55.20,37.60,17.50
Australia,Japan,Electronics,Online,Low,2022-12-31,310,2023-04-12,181,4.00,3.40,19.90,15.40,6.50
Asia,USA,Clothing,Online,Low,2022-05-19,311,2023-04-14,776,9.60,4.60,71.10,46.60,12.00
South America,UK,Sports,Online,High,2022-09-03,312,2023-04-14,459,1.20,1.40,94.70,16.50,0.60
North America,USA,Clothing,Online,Medium,2022-10-14,313,2023-04-09,512,6.60,2.80,0.90,31.80,27.80
Australia,Mexico,Furniture,Offline,Low,2022-07-22,314,2023-04-14,652,1.40,2.80,18.80,26.30,48.20
Asia,China,Clothing,Online,Low,2022-06-11,315,2023-04-14,89,4.80,4.40,73.20,6.20,37.40
Australia,China,Electronics,Online,Low,2022-05-21,316,2023-04-09,99,4.40,1.70,17.30,45.30,2.00
Australia,Australia,Clothing,Online,Medium,2022-06-09,317,2023-04-12,450,4.90,3.20,37.00,11.40,7.30
Europe,India,Toys,Offline,Low,2022-04-09,318,2023-04-15,821,7.40,2.90,99.70,44.40,1.80
Australia,Germany,Furniture,Online,Low,2022-11-30,319,2023-04-13,955,3.80,0.50,37.50,17.40,36.30
Europe,Japan,Clothing,Online,Low,2023-01-31,320,2023-04-10,655,8.90,2.80,65.30,17.60,27.80
North America,Mexico,Toys,Online,Medium,2022-07-28,321,2023-04-13,938,2.90,2.60,32.60,12.50,25.90
Asia,USA,Food,Offline,Low,2022-12-20,322,2023-04-13,981,4.10,0.20,41.50,41.60,14.40
Australia,USA,Furniture,Online,Low,2022-06-23,323,2023-04-11,514,9.20,1.90,51.30,24.60,8.50
Asia,Australia,Sports,Online,Low,2022-09-29,324,2023-04-09,167,3.10,2.60,90.20,46.00,39.80
Australia,USA,Clothing,Online,High,2022-08-11,325,2023-04-10,246,9.20,3.30,37.60,24.00,24.90
Europe,India,Food,Online,Low,2023-04-05,326,2023-04-15,220,0.40,3.50,66.50,37.30,23.10
Europe,India,Toys,Online,High,2023-03-21,327,2023-04-14,181,4.80,3.10,53.70,45.90,8.40
Europe,Japan,Clothing,Offline,High,2023-03-11,328,2023-04-13,328,2.90,4.90,69.80,15.20,6.40
Europe,India,Clothing,Offline,Medium,2022-11-21,329,2023-04-10,409,4.20,0.90,65.80,22.60,37.50
Australia,Australia,Furniture,Online,Medium,2023-03-25,330,2023-04-15,388,3.90,1.60,1.80,31.10,17.90
Europe,Argentina,Furniture,Offline,Medium,2022-12-11,331,2023-04-10,606,6.10,3.80,35.40,48.60,6.70
Australia,UK,Furniture,Offline,Low,2022-04-21,332,2023-04-13,586,4.10,4.50,24.40,20.80,13.50
South America,India,Furniture,Offline,Low,2022-04-12,333,2023-04-09,861,3.20,1.70,6.30,27.10,14.10
South America,Mexico,Clothing,Offline,High,2022-07-18,334,2023-04-13,194,9.30,0.40,90.60,34.10,30.50
Europe,Brazil,Toys,Offline,Low,2023-03-28,335,2023-04-09,616,2.90,3.50,83.50,27.90,19.40
Australia,Canada,Clothing,Online,Medium,2022-04-10,336,2023-04-10,181,3.40,3.80,39.00,21.90,19.50
Asia,USA,Clothing,Online,Low,2023-02-21,337,2023-04-09,704,8.90,0.30,87.60,46.80,31.70
Australia,USA,Clothing,Online,High,2022-07-30,338,2023-04-13,382,4.00,4.90,65.30,42.30,29.60
North America,USA,Electronics,Online,High,2022-11-23,339,2023-04-11,638,6.60,1.20,6.00,41.60,37.60
South America,Mexico,Toys,Online,Medium,2022-06-06,340,2023-04-09,92,6.80,3.10,18.70,43.20,3.30
South America,Japan,Food,Online,Medium,2023-03-30,341,2023-04-11,458,6.60,3.50,68.60,28.10,41.70
Europe,India,Sports,Offline,Medium,2023-03-07,342,2023-04-11,146,3.30,0.10,62.50,41.10,6.60
South America,Brazil,Sports,Online,High,2022-11-03,343,2023-04-15,607,0.40,2.00,70.00,44.60,3.60
North America,France,Toys,Offline,High,2022-07-07,344,2023-04-15,505,1.50,3.80,57.00,10.30,19.10
North America,China,Furniture,Online,High,2022-07-21,345,2023-04-09,279,4.90,3.40,80.10,17.90,11.00
Asia,China,Toys,Online,Medium,2022-06-21,346,2023-04-11,176,8.20,0.90,92.20,36.90,9.50
North America,Brazil,Furniture,Offline,Low,2022-12-03,347,2023-04-15,977,6.10,2.10,41.00,25.90,21.80
Australia,Australia,Food,Online,High,2022-11-15,348,2023-04-14,335,5.50,0.40,54.60,25.00,19.60
Australia,Argentina,Furniture,Online,Medium,2022-12-22,349,2023-04-12,786,9.80,2.60,91.90,36.70,31.40
South America,Mexico,Toys,Offline,Low,2022-06-16,350,2023-04-15,227,7.90,3.90,25.90,13.50,2.50
Asia,Canada,Sports,Online,Low,2022-05-03,351,2023-04-12,46,6.20,0.20,38.90,30.60,44.50
Australia,Mexico,Clothing,Online,Medium,2023-01-07,352,2023-04-10,476,2.20,4.90,48.90,36.00,6.90
North America,USA,Clothing,Offline,High,2022-07-27,353,2023-04-09,636,5.20,2.30,18.40,20.40,49.90
Asia,China,Sports,Offline,High,2022-09-14,354,2023-04-09,358,1.80,2.00,49.20,7.30,33.60
Australia,USA,Toys,Online,High,2022-09-29,355,2023-04-13,269,8.20,4.30,70.30,21.70,18.50
North America,Argentina,Toys,Offline,Medium,2022-04-20,356,2023-04-14,343,5.60,2.10,66.30,28.00,4.70
South America,France,Electronics,Offline,Medium,2023-03-25,357,2023-04-09,686,9.90,1.10,91.80,2.80,44.60
Australia,China,Food,Offline,Low,2023-03-13,358,2023-04-12,670,6.10,3.40,89.80,29.70,28.20
Asia,Mexico,Electronics,Offline,Low,2023-01-23,359,2023-04-12,399,4.50,3.10,35.80,38.30,13.70
Europe,Canada,Electronics,Online,High,2022-09-12,360,2023-04-13,307,9.60,2.90,37.50,48.30,15.60
South America,Japan,Electronics,Online,Low,2023-01-20,361,2023-04-10,854,0.20,3.10,5.70,32.20,31.00
North America,India,Toys,Online,Low,2022-11-05,362,2023-04-11,519,3.90,2.90,91.70,9.30,29.20
Australia,France,Furniture,Online,Low,2022-11-19,363,2023-04-15,951,5.30,1.80,97.20,18.50,21.30
Asia,Japan,Clothing,Online,Medium,2022-06-09,364,2023-04-14,721,2.90,4.20,10.00,12.70,42.70
South America,India,Food,Online,Low,2022-08-20,365,2023-04-14,300,3.20,2.30,1.00,31.30,40.70
Asia,USA,Clothing,Offline,Medium,2023-03-28,366,2023-04-11,304,1.20,1.10,14.80,12.60,17.60
Asia,India,Clothing,Offline,High,2023-03-15,367,2023-04-10,852,1.10,0.50,99.70,28.90,20.10
Asia,France,Toys,Online,High,2022-09-26,368,2023-04-09,101,2.00,0.90,56.20,37.10,44.60
Europe,USA,Sports,Offline,Medium,2022-05-31,369,2023-04-14,603,9.80,1.60,98.70,19.00,12.30
South America,Canada,Furniture,Online,Low,2022-05-10,370,2023-04-14,31,3.40,4.00,21.40,13.90,3.10
Asia,France,Furniture,Online,High,2022-06-18,371,2023-04-09,38,2.90,1.30,69.60,10.30,37.00
South America,Argentina,Toys,Online,Low,2023-03-21,372,2023-04-15,786,6.20,0.30,66.90,12.70,10.00
Australia,Germany,Toys,Online,High,2022-04-17,373,2023-04-11,349,5.30,1.20,39.70,50.00,1.10
Australia,Mexico,Electronics,Online,High,2022-11-18,374,2023-04-10,947,8.80,4.10,8.40,46.80,43.60
South America,Canada,Toys,Online,Low,2022-06-01,375,2023-04-11,509,8.20,1.20,88.00,15.80,26.30
South America,Canada,Clothing,Offline,Medium,2022-11-24,376,2023-04-13,995,0.90,2.30,70.60,0.20,9.70
Australia,USA,Toys,Online,Medium,2022-06-29,377,2023-04-14,654,3.40,4.80,73.30,35.40,47.20
Asia,Australia,Sports,Online,Medium,2022-10-12,378,2023-04-15,171,1.70,4.60,67.20,22.50,8.20
North America,Australia,Toys,Offline,Low,2022-05-22,379,2023-04-09,377,9.60,3.70,71.00,43.70,14.30
Europe,Japan,Electronics,Offline,Low,2023-02-09,380,2023-04-15,670,3.80,4.50,5.20,31.20,8.40
North America,Argentina,Electronics,Online,Low,2022-12-05,381,2023-04-14,647,5.20,4.20,74.50,20.60,2.90
Asia,Argentina,Furniture,Offline,High,2022-07-24,382,2023-04-13,484,4.80,1.30,39.10,12.00,19.50
Australia,USA,Toys,Online,Low,2022-08-29,383,2023-04-12,90,8.60,0.40,36.50,5.10,39.20
Australia,China,Food,Online,High,2022-12-24,384,2023-04-09,919,2.20,2.70,17.70,44.50,44.70
Asia,France,Food,Offline,Medium,2023-04-05,385,2023-04-12,143,2.40,1.90,74.90,48.10,11.00
South America,India,Toys,Offline,High,2022-11-25,386,2023-04-13,567,0.80,0.10,57.60,28.70,0.40
Europe,Brazil,Clothing,Online,Low,2022-06-28,387,2023-04-14,236,9.70,3.40,22.80,3.60,4.20
Asia,France,Clothing,Offline,High,2022-12-09,388,2023-04-12,632,2.80,4.80,51.30,10.20,14.10
South America,France,Food,Online,Low,2022-06-13,389,2023-04-09,363,3.70,4.40,36.80,36.70,18.20
Australia,Australia,Toys,Online,Low,2022-06-15,390,2023-04-11,401,8.50,3.80,77.10,6.20,46.80
North America,France,Clothing,Online,Low,2022-09-05,391,2023-04-13,986,7.60,1.00,82.90,24.40,13.00
North America,Brazil,Toys,Online,Medium,2022-06-15,392,2023-04-09,217,3.80,1.30,39.80,20.30,3.80
Europe,Germany,Sports,Offline,Medium,2022-07-05,393,2023-04-10,6,5.70,0.40,0.60,14.60,15.10
North America,USA,Electronics,Online,High,2022-10-06,394,2023-04-09,107,7.00,4.20,4.40,6.20,5.60
South America,Australia,Sports,Offline,Low,2022-05-29,395,2023-04-12,48,8.40,3.10,66.20,41.60,5.20
North America,Brazil,Electronics,Offline,High,2023-01-20,396,2023-04-14,376,9.50,2.70,64.70,22.50,21.00
Asia,India,Sports,Offline,Medium,2022-07-27,397,2023-04-13,482,3.30,3.20,70.40,1.90,37.60
North America,Mexico,Furniture,Online,Low,2022-09-18,398,2023-04-12,812,3.10,1.20,79.50,16.10,24.30
Australia,UK,Food,Offline,Low,2023-04-07,399,2023-04-09,883,8.50,1.10,16.10,30.80,8.50
Australia,France,Toys,Online,Low,2022-09-02,400,2023-04-14,432,9.40,2.70,5.70,25.60,19.30
Asia,France,Electronics,Offline,Medium,2023-02-19,401,2023-04-12,94,2.60,2.90,98.90,44.00,27.90
Australia,Germany,Toys,Offline,Low,2023-03-05,402,2023-04-10,215,3.60,3.30,77.90,9.60,41.60
Australia,Canada,Furniture,Offline,Medium,2022-04-18,403,2023-04-09,264,9.50,1.10,40.70,17.40,40.80
Asia,Germany,Furniture,Offline,Medium,2022-09-12,404,2023-04-10,617,8.30,1.60,57.90,47.90,26.80
North America,France,Sports,Offline,Medium,2022-10-17,405,2023-04-11,716,0.30,4.70,24.00,40.40,34.40
North America,France,Electronics,Online,Medium,2023-01-04,406,2023-04-13,878,1.30,2.30,47.10,11.20,30.50
Asia,Canada,Clothing,Online,Medium,2022-05-10,407,2023-04-11,550,1.50,2.10,34.40,43.00,10.40
North America,Mexico,Toys,Online,Low,2022-06-08,408,2023-04-12,409,5.80,0.40,35.60,38.30,34.90
Australia,China,Clothing,Online,Medium,2023-03-30,409,2023-04-10,76,7.20,4.80,1.70,43.10,3.10
Asia,Japan,Furniture,Online,High,2022-07-09,410,2023-04-14,399,0.10,1.70,85.90,16.10,36.80
Asia,Germany,Sports,Online,High,2022-07-07,411,2023-04-15,527,6.40,0.30,10.00,11.70,48.60
Europe,France,Electronics,Offline,High,2022-07-28,412,2023-04-09,798,8.30,3.20,24.50,21.20,38.70
Australia,Germany,Sports,Online,Medium,2022-11-19,413,2023-04-13,694,1.40,2.10,43.50,8.00,21.40
North America,India,Clothing,Online,High,2023-02-16,414,2023-04-09,295,1.00,4.80,77.40,35.60,14.00
Asia,UK,Sports,Offline,Low,2022-10-18,415,2023-04-10,829,6.80,2.00,11.30,28.60,43.30
Asia,Germany,Electronics,Online,High,2022-10-05,416,2023-04-13,238,5.80,2.70,86.70,22.20,3.40
North America,Australia,Clothing,Online,Low,2022-11-11,417,2023-04-09,867,7.80,3.50,31.60,35.20,47.30
Asia,France,Clothing,Offline,Medium,2022-12-29,418,2023-04-10,584,5.40,2.30,34.20,29.40,40.00
South America,Argentina,Furniture,Offline,High,2023-01-01,419,2023-04-14,438,3.10,2.30,93.00,33.10,8.50
Asia,USA,Clothing,Offline,Low,2022-04-18,420,2023-04-10,882,4.70,4.20,39.90,30.40,12.20
Asia,Germany,Food,Offline,Low,2022-10-01,421,2023-04-13,900,8.20,1.70,62.70,32.10,42.10
Australia,Germany,Furniture,Online,High,2022-09-16,422,2023-04-09,751,4.00,0.70,19.80,10.30,38.30
North America,Japan,Sports,Online,Low,2022-12-06,423,2023-04-10,69,3.30,2.20,36.70,17.30,33.90
North America,USA,Clothing,Offline,High,2023-01-06,424,2023-04-11,470,1.80,3.10,65.50,11.10,43.00
South America,Argentina,Toys,Online,High,2022-04-18,425,2023-04-12,194,6.40,4.60,22.70,20.60,8.10
Australia,Mexico,Sports,Offline,Low,2022-07-03,426,2023-04-11,4,9.70,2.30,11.60,44.90,10.20
South America,Canada,Electronics,Offline,High,2022-09-15,427,2023-04-15,189,9.60,4.60,47.70,31.90,4.50
North America,Australia,Electronics,Offline,High,2023-02-27,428,2023-04-12,107,4.40,0.90,37.10,23.90,17.10
North America,Japan,Furniture,Offline,Medium,2023-01-27,429,2023-04-11,381,5.20,1.30,77.30,35.90,18.80
North America,Mexico,Toys,Offline,Low,2022-11-15,430,2023-04-11,127,1.60,4.70,96.00,20.60,12.50
Asia,Mexico,Food,Offline,Medium,2022-12-22,431,2023-04-09,844,4.80,2.60,60.80,35.80,28.80
South America,Mexico,Clothing,Online,Medium,2022-04-20,432,2023-04-09,359,7.40,2.20,48.00,40.80,14.20
Australia,Mexico,Clothing,Online,High,2022-06-01,433,2023-04-14,584,8.60,3.60,41.10,9.80,38.40
North America,China,Food,Offline,High,2022-04-10,434,2023-04-15,230,0.80,2.00,89.60,4.60,34.70
North America,Mexico,Toys,Online,Low,2022-05-29,435,2023-04-11,396,0.20,3.70,35.50,26.50,27.40
Europe,Germany,Furniture,Offline,High,2023-03-08,436,2023-04-11,48,4.90,3.60,87.30,20.00,41.70
Asia,USA,Sports,Online,Medium,2023-02-03,437,2023-04-10,152,2.50,4.00,8.00,6.30,37.30
South America,UK,Clothing,Online,Low,2022-08-09,438,2023-04-14,110,5.90,0.60,7.70,21.80,36.50
Asia,France,Sports,Offline,Low,2022-10-08,439,2023-04-12,287,9.20,0.10,73.40,6.20,45.20
Europe,Japan,Electronics,Offline,Medium,2022-09-28,440,2023-04-12,436,3.30,2.60,90.70,31.40,40.40
North America,UK,Toys,Offline,Medium,2022-04-17,441,2023-04-13,443,5.50,0.80,84.30,40.10,49.30
Europe,Mexico,Toys,Online,Low,2022-05-22,442,2023-04-15,168,8.60,3.30,9.60,18.40,43.50
Europe,Japan,Furniture,Online,Medium,2022-12-18,443,2023-04-09,827,5.00,1.20,42.70,39.40,6.40
South America,Argentina,Furniture,Offline,Low,2022-06-15,444,2023-04-09,88,0.80,2.50,47.40,4.80,15.90
South America,Japan,Food,Online,Low,2022-08-25,445,2023-04-10,982,1.20,4.80,8.40,8.90,7.50
Asia,India,Food,Online,High,2022-11-21,446,2023-04-12,853,4.80,4.10,73.50,1.70,3.00
Europe,UK,Electronics,Offline,High,2022-07-05,447,2023-04-11,759,4.20,3.30,64.00,29.50,21.70
Europe,Brazil,Food,Online,Medium,2022-08-16,448,2023-04-12,129,2.70,2.00,41.60,49.00,5.40
North America,Australia,Food,Online,Low,2022-04-09,449,2023-04-11,555,1.10,0.40,12.10,6.20,8.10
Europe,Japan,Toys,Offline,High,2022-08-22,450,2023-04-14,406,1.20,0.20,70.90,31.10,35.90
South America,Mexico,Toys,Online,Low,2022-10-21,451,2023-04-15,606,3.50,4.50,33.20,13.80,24.10
North America,France,Furniture,Online,Medium,2022-10-27,452,2023-04-13,99,4.40,3.20,18.00,40.40,10.60
Asia,Australia,Furniture,Online,Low,2022-06-15,453,2023-04-13,823,3.00,0.90,19.40,44.40,45.70
Asia,India,Food,Online,High,2022-05-16,454,2023-04-14,866,4.10,3.30,25.70,9.10,43.80
South America,France,Toys,Online,Medium,2022-12-16,455,2023-04-09,465,0.90,1.00,52.60,18.50,50.00
Europe,Mexico,Toys,Online,High,2023-01-10,456,2023-04-11,179,3.30,2.20,6.60,39.70,21.10
South America,UK,Clothing,Online,High,2022-11-05,457,2023-04-14,60,6.90,3.80,60.80,17.60,47.30
Europe,USA,Sports,Offline,Low,2022-10-23,458,2023-04-15,768,6.30,4.10,78.10,43.50,1.10
Asia,France,Food,Online,Medium,2022-12-28,459,2023-04-10,673,4.50,2.80,38.50,25.40,6.20
Asia,China,Clothing,Offline,Medium,2022-11-25,460,2023-04-11,366,0.60,0.70,5.40,47.60,20.60
Europe,Canada,Electronics,Offline,Medium,2023-02-03,461,2023-04-14,143,7.20,5.00,10.40,43.60,32.30
Europe,Canada,Furniture,Online,High,2022-05-31,462,2023-04-14,81,8.70,4.80,9.40,1.50,32.00
South America,India,Sports,Online,Medium,2023-02-19,463,2023-04-09,390,7.10,1.80,68.40,0.60,48.00
Europe,Mexico,Sports,Online,High,2022-06-20,464,2023-04-11,679,2.30,2.00,30.00,6.90,13.50
South America,UK,Sports,Online,Low,2023-02-27,465,2023-04-12,381,0.70,3.00,78.00,24.50,11.70
Australia,China,Toys,Offline,Medium,2022-10-19,466,2023-04-12,313,9.70,1.60,48.10,12.50,42.10
Asia,India,Electronics,Online,Medium,2022-06-15,467,2023-04-15,508,2.20,5.00,48.70,44.70,27.70
South America,USA,Clothing,Offline,High,2023-01-04,468,2023-04-10,931,1.40,0.20,71.10,28.70,4.50
North America,Argentina,Clothing,Offline,Medium,2022-11-10,469,2023-04-11,231,6.10,4.30,79.60,7.80,41.00
Europe,India,Food,Online,Medium,2022-08-01,470,2023-04-15,579,0.10,4.40,6.20,47.30,49.60
North America,India,Furniture,Online,High,2023-04-06,471,2023-04-14,516,4.10,3.10,15.10,44.30,5.40
Australia,Australia,Sports,Online,Low,2022-08-14,472,2023-04-10,163,1.60,3.00,33.50,11.70,8.50
North America,Canada,Electronics,Offline,Low,2023-03-26,473,2023-04-14,900,4.50,1.80,28.90,21.30,9.30
North America,Brazil,Food,Online,Medium,2022-05-31,474,2023-04-12,642,7.40,0.90,74.20,33.50,27.10
North America,France,Sports,Online,Medium,2022-06-27,475,2023-04-09,105,1.20,0.40,41.70,37.60,12.40
South America,China,Electronics,Online,Medium,2022-10-17,476,2023-04-13,324,9.60,2.50,91.60,38.60,9.40
Europe,China,Food,Online,Low,2023-02-02,477,2023-04-15,737,0.90,3.40,61.30,12.80,6.60
South America,Australia,Clothing,Offline,Medium,2023-03-22,478,2023-04-09,417,5.60,1.80,71.90,1.30,17.20
North America,UK,Electronics,Online,Low,2022-08-08,479,2023-04-15,527,5.70,0.20,97.90,10.10,6.70
Australia,Argentina,Sports,Offline,Low,2022-12-02,480,2023-04-10,771,2.80,2.00,52.40,44.20,34.50
Australia,France,Furniture,Offline,Medium,2022-12-05,481,2023-04-11,764,0.50,0.80,89.30,42.60,9.30
South America,USA,Food,Online,High,2022-07-29,482,2023-04-10,908,9.70,2.70,32.30,32.10,45.60
South America,France,Sports,Offline,Low,2022-08-26,483,2023-04-12,280,5.60,1.60,42.30,34.50,4.70
South America,Germany,Electronics,Offline,Low,2023-01-11,484,2023-04-12,952,4.40,3.80,87.70,6.10,1.00
North America,USA,Food,Offline,Medium,2022-11-24,485,2023-04-13,748,8.80,3.40,85.30,27.80,42.30
Asia,China,Furniture,Offline,Low,2022-11-08,486,2023-04-13,943,1.00,2.20,79.20,18.70,8.00
North America,Argentina,Sports,Online,Medium,2022-05-11,487,2023-04-11,979,5.20,4.80,11.80,48.00,37.20
Europe,Argentina,Clothing,Offline,Low,2023-03-20,488,2023-04-13,409,1.40,2.60,3.30,4.30,7.20
Asia,Australia,Sports,Online,High,2022-05-27,489,2023-04-11,466,4.90,3.10,10.60,19.50,25.00
Europe,Germany,Food,Offline,Low,2023-03-09,490,2023-04-15,976,7.60,4.10,55.90,4.50,24.70
Europe,India,Clothing,Offline,High,2022-08-25,491,2023-04-14,626,6.00,4.40,74.50,0.70,7.40
Asia,China,Furniture,Offline,High,2022-08-17,492,2023-04-15,957,6.80,2.60,70.30,44.70,13.10
North America,France,Furniture,Offline,Low,2023-02-03,493,2023-04-13,180,9.70,0.80,13.60,38.40,36.00
Europe,India,Sports,Offline,High,2022-10-10,494,2023-04-13,194,1.40,0.10,55.90,42.50,17.40
Asia,France,Clothing,Online,Low,2023-02-18,495,2023-04-14,483,2.80,0.70,36.90,43.20,29.90
Europe,France,Toys,Offline,High,2022-11-14,496,2023-04-11,19,4.50,0.80,81.20,11.60,27.70
